season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,5,SusieQ,"Philip Chapin",2,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,SusieQ,"Sarah S",2,"Paradise By the Dashboard Light","Meat Loaf",48,33,,spotify:track:2g7gviEeJr6pyxO7G35EWQ
1,5,SusieQ,jac,-1,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
1,5,Tj,Mashew,2,"Long Legged Larry","Aesop Rock",75,38,,spotify:track:0OX9lzZxKlbtn3c2d97uqz
1,5,Tj,"Michael Layous",1,"For Nancy ('Cos It Already Is)","Pete Yorn",73,40,,spotify:track:2Vin9asYhJvyvBvGMAyi0f
1,5,Tj,"Philip Chapin",1,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,Tj,"Sarah S",-1,"Paradise By the Dashboard Light","Meat Loaf",48,33,,spotify:track:2g7gviEeJr6pyxO7G35EWQ
1,5,Tj,SusieQ,1,Galahad,"Josh Ritter",84,22,,spotify:track:2lWY3EmnZuH2b1f3Sjh5J8
1,5,Tj,"Voltron’s YoungLion",1,"Mr. Shorty","Marty Robbins",78,35,,spotify:track:1I6883eWftxG6oq5SYWPXd
1,5,Tj,jac,1,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
